전체부서명,문서명,최종결재자직위,1단계,2단계,3단계,4단계,5단계,단위과제명,단위과제카드명,등급,직위,label,__index_level_0__
경기도하남시 복지교육국 노인장애인복지과,종사자 퇴사보고(작은프란치스코의집),노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,장애인복지증진시책수립및추진,장애인복지시설일반,장애인복지시설일반,D,과장,3,0
경기도하남시 복지교육국 노인장애인복지과,종사자 정보변경보고(호봉승급-작은프란치스코의집),노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,장애인복지증진시책수립및추진,장애인복지시설일반,장애인복지시설일반,C,과장,2,1
경기도하남시 복지교육국 노인장애인복지과,2020년 1분기 노인양로·요양시설 기초생활수급자 지원 등 보조금 교부결정 및 자금교부 통지,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지시설(법인)인허가,노인복지시설관리,노인복지시설관리,D,과장,3,2
경기도하남시 복지교육국 노인장애인복지과,2020년 1분기 노인생활시설지원(양로시설) 보조금 교부결정 및 자금교부 통지,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지시설(법인)인허가,노인복지시설관리,노인복지시설관리,D,과장,3,3
경기도하남시 복지교육국 노인장애인복지과,2020년 제40회 경기도 장애인의 날 유공자 포상 추천 요청,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인복지일반,장애인복지일반,C,과장,2,4
경기도하남시 복지교육국 노인장애인복지과,신종코로나바이러스감염증 대비 예방포스터 배부,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지시설(법인)인허가,노인복지시설관리,노인복지시설관리,D,과장,3,5
경기도하남시 복지교육국 노인장애인복지과,2020년 2월분 장애인가구 난방비 지급대상자 제출,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인가구월동난방비지원,장애인가구월동난방비지원,C,과장,2,6
경기도하남시 복지교육국 노인장애인복지과,2020년 1월분 장애인보조기구 수리비용 지급,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인재활보조기구교부,장애인재활보조기구교부,D,과장,3,7
경기도하남시 복지교육국 노인장애인복지과,신종 코로나바이러스 감염 확산에 따른 장애인복지시설 「임시휴관」 권고,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,장애인복지증진시책수립및추진,장애인복지시설일반,장애인복지시설일반,D,과장,3,8
경기도하남시 복지교육국 노인장애인복지과,신종 코로나바이러스감염증 유행대비 장애인복지시설 대응 지침 통보,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,장애인복지증진시책수립및추진,장애인복지시설지원,장애인복지시설지원,D,과장,3,9
경기도하남시 복지교육국 노인장애인복지과,한파 대비 취약노인 보호대책,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지정책및운영,노인복지증진시책수립및추진,독거노인일반,독거노인일반,D,과장,3,10
경기도하남시 복지교육국 노인장애인복지과,보도자료 제출(장애인복지기금 공모사업 실시),노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인복지일반,장애인복지일반,C,과장,2,11
경기도하남시 복지교육국 노인장애인복지과,신종 코로나바이러스감염증 유행대비 사회복지시설(경로당) 대응지침 알림,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지증진시책수립및추진,경로당관리,경로당관리,D,과장,3,12
경기도하남시 복지교육국 노인장애인복지과,사회보장정보시스템(행복e음) 사용자 권한 재신청,노인장애인복지과장,일반공공행정,일반행정,일반행정지원,과공통일반사무,일반서무,서무일반,서무일반,D,과장,3,13
경기도하남시 복지교육국 노인장애인복지과,신종 코로나바이러스 감염증 유행대비 발달장애인지원 사업 기관 대응지침 통보,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인복지바우처사업,장애인복지바우처사업,D,과장,3,14
경기도하남시 복지교육국 노인장애인복지과,(영락맞돌20-14호)노인맞춤돌봄서비스 돌봄군 변경 승인요청,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지시설(법인)인허가,노인돌봄서비스운영,노인돌봄서비스운영,C,과장,2,15
경기도하남시 복지교육국 노인장애인복지과,2020년 제1차 발달장애인 활동서비스 제공인력 교육 일정 연기 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인복지바우처사업,장애인복지바우처사업,D,과장,3,16
경기도하남시 복지교육국 노인장애인복지과,「경기도 공영장례 지원 조례안」 의견 회신,노인장애인복지과장,사회복지,사회복지일반,장묘,장묘시설관리,묘지관리및장묘문화개선사업,장사업무일반,장사업무일반,D,과장,3,17
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-542943) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,18
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-540347) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,19
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-545722) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,20
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-546384) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,21
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-538061) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,22
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-541084) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,23
